accepted_name	IUCN_category_old	IUCN_category_new	TS_category_old	TS_category_new	IUCN_old	IUCN_new	TS_global_old	TS_global_new
Calamus pycnocarpus	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus pygmaeus	NE	NE	NE	NE	0	0	0	0
Calamus quangngaiensis	NE	NE	NE	NE	0	0	0	0
Calamus radiatus	NE	NE	Threatened	NE	0	0	1	0
Calamus radicalis	NE	NE	NE	NE	0	0	0	0
Calamus radulosus	NE	NE	Threatened	NE	0	0	1	0
Calamus rarispinosus	NE	NE	NE	NE	0	0	0	0
Calamus reinwardtii	NE	NE	NE	NE	0	0	0	0
Calamus reticulatus	NE	NE	Not Threatened	NE	0	0	1	0
Calamus retroflexus	NE	NE	NE	NE	0	0	0	0
Calamus reyesianus	NE	NE	NE	NE	0	0	0	0
Calamus rhabdocladus	NE	NE	Not Threatened	NE	0	0	1	0
Calamus rheedei	NE	NE	NE	NE	0	0	0	0
Calamus rhomboideus	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus rhytidomus	NE	NE	NE	NE	0	0	0	0
Calamus ridleyanus	NE	NE	Threatened	NE	0	0	1	0
Calamus riedelianus	NE	NE	NE	NE	0	0	0	0
Calamus robinsonianus	NE	NE	Threatened	NE	0	0	1	0
Calamus rotang	NE	NE	NE	NE	0	0	0	0
Calamus ruber	NE	NE	NE	NE	0	0	0	0
Calamus rudentum	NE	NE	Data Deficient	NE	0	0	1	0
Calamus rugosus	NE	NE	NE	NE	0	0	0	0
Calamus rumphii	NE	NE	NE	NE	0	0	0	0
Calamus ruptilis	NE	NE	NE	NE	0	0	0	0
Calamus ruvidus	NE	NE	NE	NE	0	0	0	0
Calamus sabalensis	NE	CR	NE	Threatened	0	1	0	1
Calamus sabensis	NE	NE	NE	NE	0	0	0	0
Calamus sabut	NE	NE	NE	NE	0	0	0	0
Calamus salicifolius	NE	LC	Data Deficient	Not Threatened	0	1	1	1
Calamus samian	NE	NE	NE	NE	0	0	0	0
Calamus sarasinorum	NE	NE	NE	NE	0	0	0	0
Calamus sarawakensis	NE	NE	NE	NE	0	0	0	0
Calamus sashae	NE	NE	NE	NE	0	0	0	0
Calamus scabridulus	NE	NE	NE	NE	0	0	0	0
Calamus scabrispathus	NE	DD	NE	Data Deficient	0	1	0	1
Calamus scapigerus	NE	NE	NE	NE	0	0	0	0
Calamus schistoacanthus	NE	NE	NE	NE	0	0	0	0
Calamus schlechteri	NE	DD	NE	Data Deficient	0	1	0	1
Calamus schlechterianus	NE	NE	NE	NE	0	0	0	0
Calamus scipionum	NE	NE	NE	NE	0	0	0	0
Calamus scleracanthus	NE	NE	NE	NE	0	0	0	0
Calamus sedens	NE	NE	Threatened	NE	0	0	1	0
Calamus sedisspirituum	NE	NE	NE	NE	0	0	0	0
Calamus sekundurensis	NE	NE	NE	NE	0	0	0	0
Calamus senalingensis	NE	NE	Threatened	NE	0	0	1	0
Calamus sepal	NE	NE	Threatened	NE	0	0	1	0
Calamus seriatus	NE	NE	NE	NE	0	0	0	0
Calamus serpentinus	NE	NE	NE	NE	0	0	0	0
Calamus serrulatus	NE	NE	NE	NE	0	0	0	0
Calamus siberutensis	NE	NE	NE	NE	0	0	0	0
Calamus simplex	NE	NE	Threatened	NE	0	0	1	0
Calamus singalanus	NE	NE	NE	NE	0	0	0	0
Calamus siphonospathus	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus sordidus	NE	NE	NE	NE	0	0	0	0
Calamus spanostachys	NE	NE	NE	NE	0	0	0	0
Calamus sparsiflorus	NE	NE	NE	NE	0	0	0	0
Calamus spectatissimus	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus spiculifer	NE	NE	NE	NE	0	0	0	0
Calamus spinifolius	NE	NE	NE	NE	0	0	0	0
Calamus spinulinervis	NE	NE	NE	NE	0	0	0	0
Calamus spiralis	NE	NE	NE	NE	0	0	0	0
Calamus stenophyllus	NE	NE	NE	NE	0	0	0	0
Calamus stolonifer	NE	NE	NE	NE	0	0	0	0
Calamus suaveolens	NE	NE	Data Deficient	NE	0	0	1	0
Calamus subangulatus	NE	NE	NE	NE	0	0	0	0
Calamus sumbawensis	NE	NE	NE	NE	0	0	0	0
Calamus superciliatus	NE	NE	NE	NE	0	0	0	0
Calamus symphysipus	NE	NE	NE	NE	0	0	0	0
Calamus takanensis	NE	NE	NE	NE	0	0	0	0
Calamus tanakadatei	NE	NE	Threatened	NE	0	0	1	0
Calamus temii	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus tenompokensis	NE	NE	NE	NE	0	0	0	0
