"accepted_name"	"ECO"
"Chamaedorea sartorii"	8
"Chamaedorea scheryi"	5
"Chamaedorea schiedeana"	13
"Chamaedorea schippii"	2
"Chamaedorea seifrizii"	9
"Chamaedorea serpens"	1
"Chamaedorea simplex"	2
"Chamaedorea smithii"	1
"Chamaedorea stenocarpa"	3
"Chamaedorea stolonifera"	3
"Chamaedorea stricta"	4
"Chamaedorea subjectifolia"	3
"Chamaedorea tenerrima"	1
"Chamaedorea tepejilote"	20
"Chamaedorea tuerckheimii"	4
"Chamaedorea undulatifolia"	3
"Chamaedorea verapazensis"	1
"Chamaedorea verecunda"	1
"Chamaedorea vulgata"	2
"Chamaedorea warscewiczii"	9
"Chamaedorea whitelockiana"	1
"Chamaedorea woodsoniana"	16
"Chamaedorea zamorae"	3
"Chamaerops humilis"	13
"Chambeyronia lepidota"	1
"Chambeyronia macrocarpa"	2
"Chelyocarpus chuco"	2
"Chelyocarpus dianeurus"	2
"Chelyocarpus repens"	4
"Chelyocarpus ulei"	8
"Chuniophoenix hainanensis"	2
"Chuniophoenix nana"	1
"Clinosperma bracteale"	1
"Clinosperma lanuginosa"	1
"Clinosperma macrocarpa"	1
"Clinosperma vaginata"	1
"Clinostigma collegarum"	1
"Clinostigma gronophyllum"	1
"Clinostigma ponapense"	1
"Coccothrinax alta"	2
"Coccothrinax argentata"	5
"Coccothrinax argentea"	2
"Coccothrinax barbadensis"	3
"Coccothrinax boschiana"	2
"Coccothrinax ekmanii"	1
"Coccothrinax gracilis"	1
"Coccothrinax hioramii"	1
"Coccothrinax jamaicensis"	1
"Coccothrinax litoralis"	0
"Coccothrinax orientalis"	1
"Coccothrinax readii"	3
"Coccothrinax spissa"	2
"Coccothrinax yunquensis"	1
"Coccothrinax yuraguana"	1
"Cocos nucifera"	125
"Colpothrinax aphanopetala"	3
"Colpothrinax cookii"	3
"Copernicia alba"	14
"Copernicia berteroana"	2
"Copernicia curtissii"	2
"Copernicia ekmanii"	1
"Copernicia prunifera"	8
"Copernicia tectorum"	8
"Copernicia yarey"	1
"Corypha lecomtei"	2
"Corypha utan"	12
"Cryosophila bartlettii"	1
"Cryosophila cookii"	1
"Cryosophila grayumii"	3
"Cryosophila guagara"	3
"Cryosophila kalbreyeri"	7
"Cryosophila macrocarpa"	1
"Cryosophila stauracantha"	8
"Cryosophila warscewiczii"	6
"Cryosophila williamsii"	2
"Cyphokentia cerifera"	1
"Cyphokentia macrostachya"	1
"Cyphophoenix alba"	1
"Cyphophoenix elegans"	1
"Cyphophoenix fulcita"	1
"Cyphophoenix nucele"	1
"Cyphosperma balansae"	1
"Cyphosperma voutmelense"	1
"Cyrtostachys bakeri"	1
"Cyrtostachys elegans"	2
"Cyrtostachys excelsa"	1
"Cyrtostachys glauca"	4
"Cyrtostachys loriae"	8
"Cyrtostachys renda"	4
"Desmoncus chinantlensis"	5
"Desmoncus cirrhifer"	6
"Desmoncus costaricensis"	3
"Desmoncus giganteus"	11
"Desmoncus horridus"	19
"Desmoncus interjectus"	1
"Desmoncus kunarius"	2
"Desmoncus latisectus"	3
"Desmoncus leptoclonos"	4
"Desmoncus loretanus"	3
"Desmoncus madrensis"	1
"Desmoncus mitis"	17
"Desmoncus moorei"	3
"Desmoncus myriacanthos"	5
"Desmoncus obovoideus"	2
"Desmoncus orthacanthos"	12
"Desmoncus osensis"	1
"Desmoncus parvulus"	8
"Desmoncus polyacanthos"	42
"Desmoncus prunifer"	1
"Desmoncus pumilus"	1
"Desmoncus setosus"	3
"Desmoncus stans"	2
"Desmoncus vacivus"	4
"Dictyocaryum fuscum"	1
"Dictyocaryum lamarckianum"	11
"Dictyocaryum ptarianum"	4
"Dictyosperma album"	1
"Dransfieldia micrantha"	1
"Drymophloeus litigiosus"	3
"Drymophloeus oliviformis"	3
"Dypsis acaulis"	1
"Dypsis acuminum"	3
"Dypsis ambanjae"	1
"Dypsis ambilaensis"	2
"Dypsis ambositrae"	2
"Dypsis andapae"	2
"Dypsis andilamenensis"	2
"Dypsis andrianatonga"	3
"Dypsis angusta"	1
"Dypsis angustifolia"	1
"Dypsis anjae"	1
"Dypsis ankirindro"	1
"Dypsis antanambensis"	1
"Dypsis aquatilis"	1
"Dypsis arenarum"	2
"Dypsis baronii"	4
"Dypsis basilonga"	2
"Dypsis beentjei"	1
"Dypsis bejofo"	2
"Dypsis bernieriana"	1
"Dypsis betamponensis"	1
"Dypsis betsimisarakae"	2
"Dypsis boiviniana"	1
"Dypsis bonsai"	2
"Dypsis bosseri"	1
"Dypsis brevicaulis"	1
"Dypsis brittiana"	1
"Dypsis canaliculata"	1
"Dypsis carlsmithii"	1
"Dypsis catatiana"	3
"Dypsis caudata"	1
"Dypsis ceracea"	2
"Dypsis commersoniana"	1
"Dypsis concinna"	3
"Dypsis confusa"	2
"Dypsis cookei"	1
"Dypsis coriacea"	2
"Dypsis corniculata"	1
"Dypsis coursii"	2
"Dypsis crinita"	2
"Dypsis culminis"	2
"Dypsis curtisii"	1
"Dypsis decaryi"	2
"Dypsis decipiens"	3
"Dypsis delicatula"	1
"Dypsis digitata"	1
"Dypsis dracaenoides"	3
"Dypsis dransfieldii"	1
"Dypsis elegans"	1
"Dypsis eriostachys"	2
"Dypsis faneva"	1
"Dypsis fanjana"	1
"Dypsis fasciculata"	2
"Dypsis fibrosa"	3
"Dypsis forficifolia"	1
"Dypsis furcata"	0
"Dypsis gautieri"	1
"Dypsis glabrescens"	1
"Dypsis gronophyllum"	3
