"taxa"	"EOO"	"AOO"	"Nbe_unique_occ."	"Nbe_subPop"	"Nbe_loc"	"EOO2"	"NOP"	"MER"	"EOOkm2"	"AOO2km"	"EOOcat"	"AOOcat"	"EOO_rCAT_conR2"
"Calamus acanthophyllus"	25996	16	4	4	4	25996	"4"	"98531.5514401735"	"25974.6965120749"	"16"	"NT"	"EN"	"25974.6965120749"
"Calamus acanthospathus"	1027243	32	10	8	8	1027243	"10"	"2288793.0493121"	"1059424.93037338"	"36"	"LC"	"EN"	"1059424.93037338"
"Calamus acaulis"	8	8	4	2	2	5	"4"	"1334.37351180249"	"4.60124227618599"	"8"	"CR"	"CR"	"4.60124227618599"
"Calamus altiscandens"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus angustifolius"	108491	28	10	6	6	108491	"10"	"304493.071066527"	"108346.762829986"	"32"	"LC"	"EN"	"108346.762829986"
"Calamus anomalus"	2974	20	5	4	4	2974	"5"	"11090.2744825172"	"2980.26381336224"	"20"	"EN"	"EN"	"2980.26381336224"
"Calamus arborescens"	136039	28	8	6	6	136039	"8"	"601186.469577094"	"139094.818041716"	"32"	"LC"	"EN"	"139094.818041716"
"Calamus aruensis"	2027070	476	137	91	100	2027070	"137"	"3770211.7785368"	"2014144.09095054"	"476"	"LC"	"EN"	"2014144.09095054"
"Calamus ashtonii"	4193	16	5	4	4	4193	"5"	"35929.1084965772"	"4180.52131577071"	"20"	"EN"	"EN"	"4180.52131577071"
"Calamus asperrimus"	NA	4	2	1	1	NA	"2"	"1.22261353943537"	"0"	"8"	"CR"	"CR"	NA
"Calamus asteracanthus"	2133	12	3	3	3	2133	"3"	"5554.12019034254"	"2132.29107327089"	"12"	"EN"	"EN"	"2132.29107327089"
