Tree_name	Acc_name	NO_EXT	DO_CON	Americas	AfricaWAsia	EAsiaPacific	Climbing	Acaulescent	Erect	StemSolitary	StemArmed	LeavesArmed	MaxStemHeight_m	MaxStemDia_cm	UnderstoreyCanopy	MaxLeafNumber	Max_Blade_Length_m	Max_Rachis_Length_m	Max_Petiole_length_m	AverageFruitLength_cm	MinFruitLength_cm	MaxFruitLength_cm	AverageFruitWidth_cm	MinFruitWidth_cm	MaxFruitWidth_cm	FruitSizeCategorical	FruitShape	FruitColorDescription	MainFruitColors	Conspicuousness	AnimalFood	EnvironmentalUses	Fuels	GeneSources	HumanFood	InvertebrateFood	Materials	Medicines	Poisons	SocialUses
Geonoma maxima	Geonoma maxima	LC	LC	1	0	0	0	0	1	0	0	0	9	5	canopy	20	2.2	1.2	0.2	1.113070866	0.5	1.82	0.823228347	0.5	1.3	small	globose	green; green to yellow; black	green; yellow; black	conspicuous	1	1	0	0	1	0	1	0	0	1
Geonoma monospatha	Geonoma monospatha	non-LC	LC	1	0	0	0	0	1	2	0	0	0.7	0.7	understorey	NA	0.315	0.23	0	0.67	0.61	0.72	0.522	0.49	0.55	small	elongate	black against red rachis	black	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma mooreana	Geonoma mooreana	non-LC	LC	1	0	0	0	0	1	0	0	0	2.4	1.7	understorey	NA	0.785	0.79	NA	0.56	0.44	0.67	0.455	0.41	0.5	small	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma multisecta	Geonoma multisecta	LC	LC	1	0	0	0	0	1	1	0	0	2.3	NA	understorey	16	NA	0.94	0.77	1.12	0.96	1.32	0.74	0.62	0.79	small	NA	NA	NA	NA	0	0	0	0	0	0	1	0	0	0
Geonoma occidentalis	Geonoma occidentalis	LC	LC	1	0	0	0	1	0	2	0	0	3	1.7	understorey	18	NA	0.575	0.55	0.735	0.62	0.85	0.59	0.54	0.66	small	NA	black	black	cryptic	0	0	0	0	0	0	0	0	0	0
Geonoma oldemanii	Geonoma oldemanii	LC	LC	1	0	0	0	0	1	0	0	0	2.5	2.4	understorey	19	1.67	1.49	NA	1.62	1.44	1.77	1.373333333	1.24	1.63	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma oligoclona	Geonoma oligoclona	LC	LC	1	0	0	0	0	1	0	0	0	2.5	5	understorey	10	0.37	0.37	NA	0.6625	0.595	0.73	0.6	0.565	0.64	small	globose	black	black	cryptic	0	0	0	0	1	0	0	0	0	0
Geonoma operculata	Geonoma operculata	non-LC	NA	1	0	0	0	0	1	NA	0	0	1.5	NA	understorey	NA	NA	0.23	NA	0.75	NA	NA	0.58	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma orbignyana	Geonoma orbignyana	LC	LC	1	0	0	0	0	1	2	0	0	4	6	understorey	20	1.66	0.76	NA	0.7	0.6	0.8	0.689736842	0.51	1.29	small	elongate	black	black	cryptic	0	0	0	0	1	0	1	0	0	1
Geonoma paradoxa	Geonoma paradoxa	non-LC	LC	1	0	0	0	1	0	1	0	0	0.3	2	understorey	10	0.98	0.35	NA	0.79375	0.5	0.97	0.5625	0.53	0.6	small	ovoid	green maturing black	black	cryptic	0	0	0	0	0	0	0	0	0	0
Geonoma pauciflora	Geonoma pauciflora	LC	LC	1	0	0	0	0	1	0	0	0	3	1.5	understorey	19	0.71	0.44	NA	0.96	0.73	1.21	0.78	0.56	1	small	NA	black	black	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
