"Species"	"Use_HUF"	"Use_HUMa"	"Use_HUMe"	"Use_HUC"
"Calamus cuthbertsonii"	0	0	0	0
"Calamus daemonoropoides"	0	0	0	0
"Calamus dasyacanthus"	0	0	0	0
"Calamus deerratus"	1	1	1	0
"Calamus delicatulus"	0	0	0	0
"Calamus densiflorus"	0	1	0	0
"Calamus depauperatus"	0	1	0	1
"Calamus depressiusculus"	0	0	0	0
"Calamus dianbaiensis"	0	0	0	0
"Calamus didymocarpus"	0	1	0	0
"Calamus didymophyllus"	0	1	1	0
"Calamus diepenhorstii"	0	1	0	0
"Calamus digitatus"	0	0	0	0
"Calamus dilaceratus"	0	0	0	0
"Calamus dioicus"	0	0	0	0
"Calamus discolor"	0	1	0	0
"Calamus distentus"	0	0	0	0
"Calamus divaricatus"	0	0	0	0
"Calamus dongnaiensis"	0	0	0	0
"Calamus draco"	0	1	1	0
"Calamus dracunculus"	0	0	0	0
"Calamus dumetosus"	0	0	0	0
"Calamus egregius"	1	1	0	0
"Calamus elongatus"	0	1	0	0
"Calamus equestris"	0	1	0	0
"Calamus erectus"	0	1	1	0
"Calamus erinaceus"	0	1	1	0
"Calamus erioacanthus"	0	1	0	0
"Calamus erythrocarpus"	0	0	0	0
"Calamus essigii"	0	0	0	0
"Calamus eugenei"	0	0	0	0
"Calamus evansii"	0	0	0	0
"Calamus exilis"	0	1	0	0
"Calamus fertilis"	0	0	0	0
"Calamus filipendulus"	0	0	0	0
"Calamus filispadix"	0	1	0	0
"Calamus fissilis"	0	0	0	0
"Calamus fissus"	0	1	1	0
"Calamus flabellatus"	0	1	0	0
"Calamus flagellum"	0	1	1	0
"Calamus flexilis"	0	1	0	0
"Calamus floribundus"	0	0	0	0
"Calamus forbesii"	0	1	0	0
"Calamus formicarius"	0	0	0	0
"Calamus formosanus"	0	0	0	0
"Calamus foxworthyi"	0	1	0	0
"Calamus gamblei"	0	0	1	0
"Calamus geniculatus"	0	1	0	0
"Calamus georgei"	0	1	0	0
"Calamus gibbsianus"	0	0	0	0
"Calamus glaucescens"	0	0	0	0
"Calamus godefroyi"	0	0	0	0
"Calamus gonospermus"	0	0	0	0
"Calamus gracilipes"	1	1	0	0
"Calamus gracilis"	0	1	1	0
"Calamus grandifolius"	0	1	0	0
"Calamus grandis"	0	1	0	0
"Calamus griseus"	0	0	0	0
"Calamus guruba"	0	0	0	0
"Calamus hallierianus"	0	1	0	0
"Calamus halmaherensis"	0	0	0	0
"Calamus harmandii"	0	0	0	0
"Calamus heatubunii"	0	0	0	0
"Calamus helferianus"	0	0	0	0
"Calamus henryanus"	0	0	0	0
"Calamus heteracanthus"	1	1	0	0
"Calamus heteroideus"	0	1	0	0
"Calamus hirsutus"	0	1	0	0
"Calamus holttumii"	0	0	0	0
"Calamus hookerianus"	0	0	0	0
"Calamus horridus"	0	0	0	0
"Calamus hukaungensis"	0	0	0	0
"Calamus inermis"	0	1	1	0
"Calamus ingens"	0	0	0	0
"Calamus inops"	0	1	0	0
"Calamus insignis"	0	1	0	0
"Calamus interruptus"	0	0	0	0
"Calamus jacobsii"	0	0	0	0
"Calamus javensis"	0	1	1	0
"Calamus jenkinsianus"	1	1	1	0
"Calamus jenningsianus"	0	1	0	0
"Calamus johndransfieldii"	0	0	0	0
"Calamus johnsii"	0	0	0	0
"Calamus kampucheaensis"	0	0	0	0
"Calamus kandariensis"	0	1	0	0
"Calamus karnatakensis"	0	0	0	0
"Calamus karuensis"	0	0	0	0
"Calamus katikii"	0	0	0	0
"Calamus kebariensis"	0	0	0	0
"Calamus kiahii"	0	0	0	0
"Calamus kingianus"	0	0	0	0
"Calamus kjellbergii"	0	0	0	0
"Calamus klossii"	0	0	0	0
"Calamus komsaryi"	0	1	0	0
"Calamus kontumensis"	0	0	0	0
"Calamus koordersianus"	0	1	0	0
"Calamus korthalsii"	0	0	0	0
"Calamus kostermansii"	0	0	0	0
"Calamus kunstleri"	0	0	0	0
"Calamus kurzianus"	0	0	0	0
"Calamus lakshmanae"	0	0	0	0
"Calamus lambirensis"	0	0	0	0
"Calamus lamprolepis"	0	1	0	0
"Calamus laoensis"	0	0	0	0
"Calamus lateralis"	0	0	0	0
"Calamus latifolius"	0	1	1	0
"Calamus lauterbachii"	1	1	0	0
"Calamus laxissimus"	0	0	0	0
"Calamus leiocaulis"	0	0	0	0
"Calamus leloi"	0	0	0	0
"Calamus leptopus"	0	1	0	0
"Calamus leptospadix"	0	0	0	0
"Calamus leptostachys"	0	1	0	0
"Calamus lewisianus"	0	0	0	0
"Calamus lobbianus"	0	1	0	0
"Calamus loherianus"	0	1	0	0
"Calamus longibracteatus"	0	0	0	0
"Calamus longipes"	0	1	0	0
"Calamus longipinna"	0	1	0	0
"Calamus longisetus"	0	1	0	0
"Calamus longispatha"	0	0	1	0
"Calamus longispinosus"	0	0	0	0
"Calamus longistipes"	0	0	0	0
"Calamus lucysmithiae"	0	0	0	0
"Calamus luteus"	0	0	0	0
"Calamus macrochlamys"	0	0	0	0
"Calamus macrophyllus"	0	0	0	0
"Calamus macropterus"	0	0	0	0
"Calamus macrorhynchus"	0	0	1	0
"Calamus macrosphaerion"	0	0	0	0
