"Species"	"s1_HUF_BS"	"s1_HUF_BS_pd"	"s1_HUF_BS_fd"	"s1_HUMa_BS"	"s1_HUMa_BS_pd"	"s1_HUMa_BS_fd"	"s1_HUMe_BS"	"s1_HUMe_BS_pd"	"s1_HUMe_BS_fd"	"s1_HUC_BS"	"s1_HUC_BS_pd"	"s1_HUC_BS_fd"	"s1_HUF_WS"	"s1_HUF_WS_pd"	"s1_HUF_WS_fd"	"s1_HUMa_WS"	"s1_HUMa_WS_pd"	"s1_HUMa_WS_fd"	"s1_HUMe_WS"	"s1_HUMe_WS_pd"	"s1_HUMe_WS_fd"	"s1_HUC_WS"	"s1_HUC_WS_pd"	"s1_HUC_WS_fd"
"Attalea huebneri"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea humilis"	0.883879045310364	0.0597627033335572	0.00704109775581445	0.883879045310364	0.0597627033335572	0.00704109775581445	0.883879045310364	0.0597627033335572	0.00704109775581445	0.860644667233034	0.0981332744888964	0.00704109775581445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea iguadummat"	0.790953368584365	0.0970691116061476	0.0132367848041125	0.790953368584365	0.0970691116061476	0.0132367848041125	0.766324922391214	0.0970691116061476	0.0154062406443846	0.790953368584365	0.0970691116061476	0.0132367848041125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea insignis"	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
"Attalea kewensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea lauromuelleriana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea leandroana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea luetzelburgii"	1	0	0	1	0	0	0.869773834520783	0.101601710508835	0.00605192948540479	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea macrolepis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea magdalenica"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea maracaibensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea maripa"	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
