"Region"	"Scenario"	"Use"	"Category"	"PercentageA"	"NumberA"	"NumberUT"
"274"	"ARK"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"275"	"ARK"	"WS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"276"	"ARK"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"277"	"ARK"	"WS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"278"	"ARK"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"279"	"ARK"	"WS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"280"	"ARK"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"281"	"ARK"	"WS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"282"	"ARK"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"283"	"ARK"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"284"	"ARK"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"285"	"ARK"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"286"	"ARK"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"287"	"ARK"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"288"	"ARK"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"289"	"ARK"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"290"	"ASC"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"291"	"ASC"	"WS"	"HUF"	"C1"	"NaN"	"0"	"0"
"292"	"ASC"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"293"	"ASC"	"WS"	"HUF"	"C2"	"NaN"	"0"	"0"
"294"	"ASC"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"295"	"ASC"	"WS"	"HUF"	"C3"	"NaN"	"0"	"0"
"296"	"ASC"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"297"	"ASC"	"WS"	"HUF"	"C4"	"NaN"	"0"	"0"
"298"	"ASC"	"BS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"299"	"ASC"	"WS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"300"	"ASC"	"BS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"301"	"ASC"	"WS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"302"	"ASC"	"BS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"303"	"ASC"	"WS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"304"	"ASC"	"BS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"305"	"ASC"	"WS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"306"	"ASC"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"307"	"ASC"	"WS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"308"	"ASC"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"309"	"ASC"	"WS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"310"	"ASC"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"311"	"ASC"	"WS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"312"	"ASC"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
