species	NO_EXT	DO_CON	Americas	AfricaWAsia	EAsiaPacific	Climbing	Acaulescent	Erect	StemSolitary	StemArmed	LeavesArmed	MaxStemHeight_m	MaxStemDia_cm	UnderstoreyCanopy	MaxLeafNumber	Max_Blade_Length_m	Max_Rachis_Length_m	Max_Petiole_length_m	AverageFruitLength_cm	MinFruitLength_cm	MaxFruitLength_cm	AverageFruitWidth_cm	MinFruitWidth_cm	MaxFruitWidth_cm	FruitSizeCategorical	FruitShape	Conspicuousness	AnimalFood	EnvironmentalUses	Fuels	GeneSources	HumanFood	InvertebrateFood	Materials	Medicines	Poisons	SocialUses
Calamus nanodendron	non-LC	NA	0	0	1	0	1	0	1	0	1	1	10	understorey	NA	2.5	2.5	NA	2.82	NA	NA	3.17	NA	NA	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus nematospadix	non-LC	LC	0	0	1	1	0	0	2	0	1	10	1.8	canopy	NA	0.6	NA	NA	0.7	NA	NA	0.65	NA	NA	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus nicobaricus	non-LC	NA	0	0	1	1	0	0	0	0	1	NA	1.4	canopy	NA	0.9	0.9	NA	NA	NA	NA	NA	NA	NA	NA	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus nicolai	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus nielsenii	non-LC	non-LC	0	0	1	1	0	0	0	0	1	1	0.8	both	NA	0.38	0.38	NA	NA	NA	NA	NA	NA	NA	NA	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus niger	NA	NA	0	0	1	1	0	0	NA	NA	1	NA	NA	canopy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus nitidus	non-LC	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus novae-georgii	non-LC	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus nuichuaensis	non-LC	NA	0	0	1	0	0	1	1	NA	1	5	3	canopy	NA	NA	1	0.6	2	NA	NA	2	NA	NA	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus oblatus	non-LC	NA	0	0	1	1	0	0	0	1	1	10	2	canopy	NA	0.9	3	0.55	2	NA	NA	2.65	2.5	2.8	small	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus oblongus	non-LC	NA	0	0	1	1	0	0	0	0	1	12	4.5	canopy	NA	3.5	NA	0.59	2.1	NA	NA	0.8	NA	NA	small	ovoid	cryptic	0	0	0	0	1	0	1	0	0	0
Calamus occidentalis	non-LC	NA	0	0	1	1	0	0	1	0	1	100	7	canopy	NA	3	3	NA	1.85	1.8	1.9	1.3	1.2	1.4	small	ovoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus ochrolepis	LC	LC	0	0	1	1	0	0	2	1	1	15	1.5	canopy	NA	2	NA	0.4	1.6	NA	NA	1.5	NA	NA	small	NA	NA	0	0	0	0	0	0	1	0	0	0
Calamus ocreatus	non-LC	NA	0	0	1	1	0	0	0	NA	1	12	3.2	canopy	NA	NA	1	0.6	1.7	NA	NA	1.7	NA	NA	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus oligolepis	non-LC	NA	0	0	1	1	0	0	NA	NA	1	NA	NA	canopy	NA	NA	1.9	NA	2	NA	NA	1.7	NA	NA	small	globose	NA	0	0	0	0	0	0	1	0	0	0
Calamus oligophyllus	non-LC	NA	0	0	1	1	0	0	0	1	1	NA	1.2	canopy	NA	0.9	0.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus oligostachys	non-LC	non-LC	0	0	1	1	0	0	0	0	1	7	1	canopy	NA	0.6	0.6	NA	0.7	NA	NA	0.7	NA	NA	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus optimus	LC	LC	0	0	1	1	0	0	0	0	1	50	1.5	canopy	NA	1	1	NA	1.4	NA	NA	1.1	NA	NA	small	globose	cryptic	0	0	0	0	0	0	1	0	0	0
Calamus oresbius	non-LC	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	0	0	1	0	0	1
Calamus ornatus	LC	LC	0	0	1	1	0	0	0	0	1	60	8	canopy	NA	4.83	4	0.95	3	NA	NA	2	NA	NA	small	NA	cryptic	0	0	0	0	1	0	1	1	0	0
Calamus orthostachyus	non-LC	NA	0	0	1	1	0	0	NA	0	1	NA	NA	canopy	NA	NA	NA	NA	1.33	NA	NA	0.71	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus ovoideus	non-LC	NA	0	0	1	1	0	0	0	0	1	100	8	canopy	NA	4	4	NA	1.6	NA	NA	1	NA	NA	small	NA	cryptic	0	0	0	0	0	0	1	0	0	0
Calamus oxleyanus	LC	LC	0	0	1	1	0	0	2	0	1	15	3	canopy	NA	2.9	2.5	0.45	1.2	1	1.4	0.85	0.7	1	small	globose	cryptic	0	0	0	0	0	0	1	0	0	0
Calamus oxycarpus	LC	LC	0	0	1	0	0	1	0	0	1	3	2	understorey	NA	0.5	0.5	NA	3	NA	NA	1.7	NA	NA	small	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus oxycoccus	LC	LC	0	0	1	1	0	0	0	1	1	15	3	canopy	NA	3	2.6	0.45	1.5	NA	NA	1	NA	NA	small	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus pachypus	LC	LC	0	0	1	1	0	0	1	0	1	26	6	canopy	NA	4	4	NA	1.25	1	1.5	1.1	0.85	1.35	small	NA	cryptic	0	0	1	0	0	0	1	0	0	1
Calamus pachyrostris	NA	NA	0	0	1	1	0	0	NA	NA	1	NA	NA	canopy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ovoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus pachystemonus	non-LC	NA	0	0	1	1	0	0	0	0	1	15	1	canopy	NA	0.2	0.2	NA	0.5	NA	NA	0.5	NA	NA	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus padangensis	non-LC	NA	0	0	1	0	0	1	0	0	1	NA	0.7	NA	NA	0.4	0.4	NA	NA	NA	NA	NA	NA	NA	NA	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamus palembanicus	NA	NA	0	0	1	1	0	0	NA	NA	1	NA	NA	canopy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	globose	NA	0	0	0	0	1	0	1	0	0	0
Calamus pandanosmus	LC	LC	0	0	1	1	0	0	0	0	1	15	1	canopy	NA	0.5	0.5	NA	1.5	NA	1.7	1.5	NA	1.9	small	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
