"accepted_name"	"Nocc"	"IUCN_TS_detail"	"IUCN_TS_sum"	"IUCN_TS_detail_InclOld"	"IUCN_TS_sum_InclOld"	"Subset"	"NsubPop"	"Nloc"	"AOO"	"EOO"	"FLO"	"ECO"	"TDWG3"
"Livistona alfredii"	11	"NE"	"NE"	"NT"	"nonLC"	"NOT_ASSESSED"	8	9	44	156505.442286381	0.000434301621680788	3	1
"Livistona australis"	2098	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	70	286	3928	3239714.81538405	0.0396751747573994	6	3
"Livistona benthamii"	258	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	65	110	744	870355.51621975	0.00748299384795528	5	3
"Livistona carinensis"	9	"NE"	"NE"	"VU"	"nonLC"	"NOT_ASSESSED"	5	6	32	28247.126400543	9.99000753331024e-07	5	3
"Livistona chinensis"	15	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	13	13	56	60663847.0229897	0.0493049686234112	10	5
"Livistona concinna"	11	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	3	5	28	1078.86419542169	0.018406567692926	1	1
"Livistona decora"	57	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	34	40	212	198740.563268013	0.0349564087166647	5	1
"Livistona drudei"	1	"NE"	"NE"	"EN"	"nonLC"	"NOT_ASSESSED"	1	1	4	NA	0.00851227436214685	1	1
"Livistona eastonii"	50	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	13	17	132	24440.0586398959	2.73350578936515e-05	1	1
"Livistona exigua"	2	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	1	1	4	NA	0.0228666942566633	1	1
"Livistona fulva"	8	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	3	4	20	287.685912907282	0.0144614726195869	1	1
"Livistona humilis"	3818	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	143	565	7412	538474.317569551	0.0121275162647208	3	1
"Livistona inermis"	511	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	101	157	1144	433925.141735933	0.000573031985272178	3	2
"Livistona jenkinsiana"	3	"NE"	"NE"	"Threatened"	"nonLC"	"NOT_ASSESSED"	2	2	12	27.550483436161	0.0765891720851262	1	5
"Livistona lanuginosa"	24	"NE"	"NE"	"Threatened"	"nonLC"	"NOT_ASSESSED"	18	19	80	22996.0212876555	0.000359923277708655	3	1
"Livistona mariae"	27	"NE"	"NE"	"NT"	"nonLC"	"NOT_ASSESSED"	7	11	72	647086.251115705	0.000433233328361961	4	1
"Livistona muelleri"	70	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	48	56	268	2199004.62263876	0.0171094224475902	9	2
"Livistona nasmophila"	12	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	8	8	40	51292.1432903237	1.16134422872468e-05	2	1
"Livistona nitida"	14	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	9	10	44	8339.08747677411	0.0114771749899124	1	1
"Livistona rigida"	51	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	28	33	168	802711.399793262	0.000277362219620437	6	2
"Livistona saribus"	14	"NE"	"NE"	"Data Deficient"	"NE"	"NOT_ASSESSED"	13	13	56	969536.049078979	0.132730613861765	7	8
"Livistona speciosa"	8	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	7	7	32	586272.971383665	0.0883117324192426	5	8
"Livistona victoriae"	155	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	27	48	400	59252.8257546574	6.90665586731601e-05	2	2
"Manicaria martiana"	11	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	8	8	40	283608.31033658	0.0102475673272486	5	2
"Manicaria saccifera"	97	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	59	67	348	4437467.66086754	0.0586161176378079	24	15
"Mauritia carana"	5	"NE"	"NE"	"NT"	"nonLC"	"NOT_ASSESSED"	2	2	16	22.7298949177592	0.000703790155239403	2	4
"Mauritia flexuosa"	263	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	173	193	900	9884715.2621332	0.0549454237279376	27	13
"Mauritiella aculeata"	57	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	46	48	216	4855651.67405771	0.0744701360847358	15	3
"Mauritiella armata"	146	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	102	111	488	6489439.81593058	0.0542881899456467	24	11
"Mauritiella macroclada"	12	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	9	8	40	9670.50782159591	0.0171231188675544	3	2
"Mauritiella pumila"	11	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	10	10	44	28752.4985078122	0.0266602253620724	4	2
"Maxburretia furtadoana"	1	"NE"	"NE"	"Threatened"	"nonLC"	"NOT_ASSESSED"	1	1	4	NA	0.103310585021973	1	1
"Maxburretia gracilis"	1	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	1	1	4	NA	0.174004256725311	1	2
"Medemia argun"	3	"NE"	"NE"	"CR"	"nonLC"	"NOT_ASSESSED"	3	3	12	15996.630593286	0	2	2
